,Date,Opponent,Map,Roundtype,Length,L Players,L Heroes,R Players,R Heroes,First Blood,Winner,L Kill #,R Kill #,L # Ults Used,R # Ults Used,Total Kill Sequence,L Kill Sequence,R Kill Sequence,Total Death Sequence,L Death Sequence,R Death Sequence,L Ult Sequence,R Ult Sequence
0,4/1/2019,DAL,BUSAN,MEKA,10.75,"['SUPER', 'CHOIHYOBIN', 'SINATRAA', 'RASCAL', 'MOTH', 'NIGHTHAWK']","['reinhardt', 'dva', 'zarya', 'brig', 'lucio', 'zenyatta']","['OGE', 'PERALTA', 'AKM', 'ZACHAREEE', 'UNKOE', 'GOO6']","['reinhardt', 'dva', 'zarya', 'baptiste', 'zenyatta', 'lucio']","['SUPER', 'CHOIHYOBIN', 'SINATRAA', 'RASCAL', 'MOTH', 'NIGHTHAWK']","['SUPER', 'CHOIHYOBIN', 'SINATRAA', 'RASCAL', 'MOTH', 'NIGHTHAWK']",5,0,1,1,"[['MOTH', 'lucio'], ['SUPER', 'reinhardt'], ['RASCAL', 'brig'], ['SUPER', 'reinhardt'], ['SINATRAA', 'zarya']]","[['MOTH', 'lucio'], ['SUPER', 'reinhardt'], ['RASCAL', 'brig'], ['SUPER', 'reinhardt'], ['SINATRAA', 'zarya']]",[],"[['OGE', 'reinhardt'], ['UNKOE', 'zenyatta'], ['AKM', 'zarya'], ['PERALTA', 'dva'], ['ZACHAREEE', 'baptiste']]",[],"[['OGE', 'reinhardt'], ['UNKOE', 'zenyatta'], ['AKM', 'zarya'], ['PERALTA', 'dva'], ['ZACHAREEE', 'baptiste']]","[['NIGHTHAWK', 'zenyatta']]","[['ZACHAREEE', 'baptiste']]"
1,4/1/2019,DAL,BUSAN,MEKA,7.25,"['SUPER', 'CHOIHYOBIN', 'SINATRAA', 'RASCAL', 'MOTH', 'NIGHTHAWK']","['reinhardt', 'dva', 'zarya', 'brig', 'lucio', 'zenyatta']","['OGE', 'PERALTA', 'AKM', 'ZACHAREEE', 'UNKOE', 'GOO6']","['reinhardt', 'dva', 'zarya', 'baptiste', 'zenyatta', 'lucio']","['SUPER', 'CHOIHYOBIN', 'SINATRAA', 'RASCAL', 'MOTH', 'NIGHTHAWK']","['SUPER', 'CHOIHYOBIN', 'SINATRAA', 'RASCAL', 'MOTH', 'NIGHTHAWK']",2,0,0,0,"[['NIGHTHAWK', 'zenyatta'], ['NIGHTHAWK', 'zenyatta']]","[['NIGHTHAWK', 'zenyatta'], ['NIGHTHAWK', 'zenyatta']]",[],"[['UNKOE', 'zenyatta'], ['OGE', 'reinhardt']]",[],"[['UNKOE', 'zenyatta'], ['OGE', 'reinhardt']]",[],[]
2,4/1/2019,DAL,BUSAN,MEKA,10.0,"['SUPER', 'CHOIHYOBIN', 'SINATRAA', 'RASCAL', 'MOTH', 'NIGHTHAWK']","['reinhardt', 'dva', 'zarya', 'brig', 'lucio', 'zenyatta']","['OGE', 'PERALTA', 'AKM', 'ZACHAREEE', 'UNKOE', 'GOO6']","['reinhardt', 'dva', 'zarya', 'baptiste', 'zenyatta', 'lucio']","['SUPER', 'CHOIHYOBIN', 'SINATRAA', 'RASCAL', 'MOTH', 'NIGHTHAWK']","['SUPER', 'CHOIHYOBIN', 'SINATRAA', 'RASCAL', 'MOTH', 'NIGHTHAWK']",2,0,3,5,"[['SUPER', 'reinhardt'], ['SUPER', 'reinhardt']]","[['SUPER', 'reinhardt'], ['SUPER', 'reinhardt']]",[],"[['AKM', 'zarya'], ['OGE', 'reinhardt']]",[],"[['AKM', 'zarya'], ['OGE', 'reinhardt']]","[['SINATRAA', 'zarya'], ['RASCAL', 'brig'], ['NIGHTHAWK', 'zenyatta']]","[['OGE', 'reinhardt'], ['UNKOE', 'zenyatta'], ['ZACHAREEE', 'baptiste'], ['PERALTA', 'dva'], ['AKM', 'zarya']]"
3,4/1/2019,DAL,BUSAN,MEKA,41.25,"['SUPER', 'CHOIHYOBIN', 'SINATRAA', 'RASCAL', 'MOTH', 'NIGHTHAWK']","['reinhardt', 'dva', 'zarya', 'brig', 'lucio', 'zenyatta']","['OGE', 'PERALTA', 'AKM', 'ZACHAREEE', 'UNKOE', 'GOO6']","['reinhardt', 'dva', 'zarya', 'baptiste', 'zenyatta', 'lucio']","['OGE', 'PERALTA', 'AKM', 'ZACHAREEE', 'UNKOE', 'GOO6']","['OGE', 'PERALTA', 'AKM', 'ZACHAREEE', 'UNKOE', 'GOO6']",1,6,3,4,"[['PERALTA', 'dva'], ['PERALTA', 'dva'], ['CHOIHYOBIN', 'dva'], ['AKM', 'zarya'], ['PERALTA', 'dva'], ['ZACHAREEE', 'baptiste'], ['OGE', 'reinhardt']]","[['CHOIHYOBIN', 'dva']]","[['PERALTA', 'dva'], ['PERALTA', 'dva'], ['AKM', 'zarya'], ['PERALTA', 'dva'], ['ZACHAREEE', 'baptiste'], ['OGE', 'reinhardt']]","[['SUPER', 'reinhardt'], ['RASCAL', 'brig'], ['OGE', 'reinhardt'], ['SINATRAA', 'zarya'], ['NIGHTHAWK', 'zenyatta'], ['SUPER', 'reinhardt'], ['RASCAL', 'brig']]","[['SUPER', 'reinhardt'], ['RASCAL', 'brig'], ['SINATRAA', 'zarya'], ['NIGHTHAWK', 'zenyatta'], ['SUPER', 'reinhardt'], ['RASCAL', 'brig']]","[['OGE', 'reinhardt']]","[['SINATRAA', 'sombra'], ['CHOIHYOBIN', 'dva'], ['NIGHTHAWK', 'zenyatta']]","[['PERALTA', 'dva'], ['GOO6', 'lucio'], ['PERALTA', 'dva'], ['UNKOE', 'zenyatta']]"
4,4/1/2019,DAL,BUSAN,MEKA,3.25,"['SUPER', 'CHOIHYOBIN', 'SINATRAA', 'RASCAL', 'MOTH', 'NIGHTHAWK']","['reinhardt', 'dva', 'zarya', 'brig', 'lucio', 'zenyatta']","['OGE', 'PERALTA', 'AKM', 'ZACHAREEE', 'UNKOE', 'GOO6']","['reinhardt', 'dva', 'zarya', 'baptiste', 'zenyatta', 'lucio']","['OGE', 'PERALTA', 'AKM', 'ZACHAREEE', 'UNKOE', 'GOO6']","['OGE', 'PERALTA', 'AKM', 'ZACHAREEE', 'UNKOE', 'GOO6']",0,4,1,2,"[['AKM', 'zarya'], ['OGE', 'reinhardt'], ['UNKOE', 'zenyatta'], ['OGE', 'reinhardt']]",[],"[['AKM', 'zarya'], ['OGE', 'reinhardt'], ['UNKOE', 'zenyatta'], ['OGE', 'reinhardt']]","[['NIGHTHAWK', 'zenyatta'], ['SUPER', 'reinhardt'], ['SINATRAA', 'zarya'], ['RASCAL', 'brig']]","[['NIGHTHAWK', 'zenyatta'], ['SUPER', 'reinhardt'], ['SINATRAA', 'zarya'], ['RASCAL', 'brig']]",[],"[['RASCAL', 'brig']]","[['AKM', 'zarya'], ['ZACHAREEE', 'baptiste']]"
5,4/1/2019,DAL,BUSAN,MEKA,3.25,"['SUPER', 'CHOIHYOBIN', 'SINATRAA', 'RASCAL', 'MOTH', 'NIGHTHAWK']","['reinhardt', 'dva', 'zarya', 'brig', 'lucio', 'zenyatta']","['OGE', 'PERALTA', 'AKM', 'ZACHAREEE', 'UNKOE', 'GOO6']","['reinhardt', 'dva', 'zarya', 'baptiste', 'zenyatta', 'lucio']","['OGE', 'PERALTA', 'AKM', 'ZACHAREEE', 'UNKOE', 'GOO6']",[],2,2,2,1,"[['OGE', 'reinhardt'], ['CHOIHYOBIN', 'dva'], ['PERALTA', 'dva'], ['SUPER', 'reinhardt']]","[['CHOIHYOBIN', 'dva'], ['SUPER', 'reinhardt']]","[['OGE', 'reinhardt'], ['PERALTA', 'dva']]","[['RASCAL', 'brig'], ['AKM', 'zarya'], ['CHOIHYOBIN', 'dva'], ['OGE', 'reinhardt']]","[['RASCAL', 'brig'], ['CHOIHYOBIN', 'dva']]","[['AKM', 'zarya'], ['OGE', 'reinhardt']]","[['CHOIHYOBIN', 'dva'], ['SUPER', 'reinhardt']]","[['OGE', 'reinhardt']]"
6,4/1/2019,DAL,BUSAN,MEKA,31.75,"['SUPER', 'CHOIHYOBIN', 'SINATRAA', 'RASCAL', 'MOTH', 'NIGHTHAWK']","['reinhardt', 'hammond', 'zarya', 'brig', 'lucio', 'zenyatta']","['OGE', 'PERALTA', 'AKM', 'ZACHAREEE', 'UNKOE', 'GOO6']","['hammond', 'dva', 'zarya', 'baptiste', 'zenyatta', 'lucio']","['SUPER', 'CHOIHYOBIN', 'SINATRAA', 'RASCAL', 'MOTH', 'NIGHTHAWK']","['OGE', 'PERALTA', 'AKM', 'ZACHAREEE', 'UNKOE', 'GOO6']",2,7,2,5,"[['SINATRAA', 'zarya'], ['PERALTA', 'dva'], ['GOO6', 'lucio'], ['SUPER', 'reinhardt'], ['ZACHAREEE', 'baptiste'], ['UNKOE', 'tracer'], ['UNKOE', 'tracer'], ['GOO6', 'lucio'], ['UNKOE', 'tracer']]","[['SINATRAA', 'zarya'], ['SUPER', 'reinhardt']]","[['PERALTA', 'dva'], ['GOO6', 'lucio'], ['ZACHAREEE', 'baptiste'], ['UNKOE', 'tracer'], ['UNKOE', 'tracer'], ['GOO6', 'lucio'], ['UNKOE', 'tracer']]","[['UNKOE', 'zenyatta'], ['MOTH', 'lucio'], ['NIGHTHAWK', 'zenyatta'], ['AKM', 'zarya'], ['SUPER', 'reinhardt'], ['RASCAL', 'brig'], ['SINATRAA', 'zarya'], ['CHOIHYOBIN', 'hammond'], ['MOTH', 'lucio']]","[['MOTH', 'lucio'], ['NIGHTHAWK', 'zenyatta'], ['SUPER', 'reinhardt'], ['RASCAL', 'brig'], ['SINATRAA', 'zarya'], ['CHOIHYOBIN', 'hammond'], ['MOTH', 'lucio']]","[['UNKOE', 'zenyatta'], ['AKM', 'zarya']]","[['NIGHTHAWK', 'zenyatta'], ['SINATRAA', 'zarya']]","[['UNKOE', 'zenyatta'], ['PERALTA', 'dva'], ['GOO6', 'lucio'], ['ZACHAREEE', 'baptiste'], ['PERALTA', 'dva']]"
7,4/1/2019,DAL,BUSAN,SANCTUARY,15.25,"['SUPER', 'CHOIHYOBIN', 'SINATRAA', 'RASCAL', 'MOTH', 'NIGHTHAWK']","['reinhardt', 'dva', 'zarya', 'brig', 'lucio', 'zenyatta']","['OGE', 'PERALTA', 'AKM', 'ZACHAREEE', 'UNKOE', 'GOO6']","['reinhardt', 'dva', 'zarya', 'baptiste', 'zenyatta', 'lucio']","['OGE', 'PERALTA', 'AKM', 'ZACHAREEE', 'UNKOE', 'GOO6']",[],2,2,2,2,"[['UNKOE', 'zenyatta'], ['MOTH', 'lucio'], ['ZACHAREEE', 'baptiste'], ['CHOIHYOBIN', 'dva']]","[['MOTH', 'lucio'], ['CHOIHYOBIN', 'dva']]","[['UNKOE', 'zenyatta'], ['ZACHAREEE', 'baptiste']]","[['SUPER', 'reinhardt'], ['UNKOE', 'zenyatta'], ['SINATRAA', 'zarya'], ['GOO6', 'lucio']]","[['SUPER', 'reinhardt'], ['SINATRAA', 'zarya']]","[['UNKOE', 'zenyatta'], ['GOO6', 'lucio']]","[['NIGHTHAWK', 'zenyatta'], ['CHOIHYOBIN', 'dva']]","[['ZACHAREEE', 'baptiste'], ['OGE', 'reinhardt']]"
8,4/1/2019,DAL,BUSAN,SANCTUARY,17.0,"['SUPER', 'CHOIHYOBIN', 'SINATRAA', 'RASCAL', 'MOTH', 'NIGHTHAWK']","['reinhardt', 'dva', 'zarya', 'brig', 'lucio', 'zenyatta']","['OGE', 'PERALTA', 'AKM', 'ZACHAREEE', 'UNKOE', 'GOO6']","['reinhardt', 'dva', 'zarya', 'baptiste', 'zenyatta', 'lucio']","['SUPER', 'CHOIHYOBIN', 'SINATRAA', 'RASCAL', 'MOTH', 'NIGHTHAWK']","['SUPER', 'CHOIHYOBIN', 'SINATRAA', 'RASCAL', 'MOTH', 'NIGHTHAWK']",5,0,1,1,"[['RASCAL', 'brig'], ['NIGHTHAWK', 'zenyatta'], ['NIGHTHAWK', 'zenyatta'], ['CHOIHYOBIN', 'dva'], ['RASCAL', 'brig']]","[['RASCAL', 'brig'], ['NIGHTHAWK', 'zenyatta'], ['NIGHTHAWK', 'zenyatta'], ['CHOIHYOBIN', 'dva'], ['RASCAL', 'brig']]",[],"[['AKM', 'zarya'], ['OGE', 'reinhardt'], ['UNKOE', 'zenyatta'], ['ZACHAREEE', 'baptiste'], ['GOO6', 'lucio']]",[],"[['AKM', 'zarya'], ['OGE', 'reinhardt'], ['UNKOE', 'zenyatta'], ['ZACHAREEE', 'baptiste'], ['GOO6', 'lucio']]","[['RASCAL', 'brig']]","[['ZACHAREEE', 'baptiste']]"
9,4/1/2019,DAL,BUSAN,SANCTUARY,25.75,"['SUPER', 'CHOIHYOBIN', 'SINATRAA', 'RASCAL', 'MOTH', 'NIGHTHAWK']","['reinhardt', 'dva', 'zarya', 'brig', 'lucio', 'zenyatta']","['OGE', 'PERALTA', 'AKM', 'ZACHAREEE', 'UNKOE', 'GOO6']","['reinhardt', 'dva', 'zarya', 'baptiste', 'zenyatta', 'lucio']","['OGE', 'PERALTA', 'AKM', 'ZACHAREEE', 'UNKOE', 'GOO6']","['OGE', 'PERALTA', 'AKM', 'ZACHAREEE', 'UNKOE', 'GOO6']",1,4,2,4,"[['OGE', 'reinhardt'], ['AKM', 'zarya'], ['PERALTA', 'dva'], ['NIGHTHAWK', 'zenyatta'], ['ZACHAREEE', 'baptiste']]","[['NIGHTHAWK', 'zenyatta']]","[['OGE', 'reinhardt'], ['AKM', 'zarya'], ['PERALTA', 'dva'], ['ZACHAREEE', 'baptiste']]","[['RASCAL', 'brig'], ['CHOIHYOBIN', 'dva'], ['SUPER', 'reinhardt'], ['AKM', 'zarya'], ['NIGHTHAWK', 'zenyatta']]","[['RASCAL', 'brig'], ['CHOIHYOBIN', 'dva'], ['SUPER', 'reinhardt'], ['NIGHTHAWK', 'zenyatta']]","[['AKM', 'zarya']]","[['SINATRAA', 'zarya'], ['NIGHTHAWK', 'zenyatta']]","[['AKM', 'zarya'], ['PERALTA', 'dva'], ['UNKOE', 'zenyatta'], ['OGE', 'reinhardt']]"
10,4/1/2019,DAL,BUSAN,SANCTUARY,14.25,"['SUPER', 'CHOIHYOBIN', 'SINATRAA', 'RASCAL', 'MOTH', 'NIGHTHAWK']","['reinhardt', 'dva', 'zarya', 'brig', 'lucio', 'zenyatta']","['OGE', 'PERALTA', 'AKM', 'ZACHAREEE', 'UNKOE', 'GOO6']","['reinhardt', 'dva', 'zarya', 'baptiste', 'zenyatta', 'lucio']","['SUPER', 'CHOIHYOBIN', 'SINATRAA', 'RASCAL', 'MOTH', 'NIGHTHAWK']","['SUPER', 'CHOIHYOBIN', 'SINATRAA', 'RASCAL', 'MOTH', 'NIGHTHAWK']",6,1,4,1,"[['CHOIHYOBIN', 'dva'], ['CHOIHYOBIN', 'dva'], ['CHOIHYOBIN', 'dva'], ['OGE', 'reinhardt'], ['MOTH', 'lucio'], ['CHOIHYOBIN', 'dva'], ['SUPER', 'reinhardt']]","[['CHOIHYOBIN', 'dva'], ['CHOIHYOBIN', 'dva'], ['CHOIHYOBIN', 'dva'], ['MOTH', 'lucio'], ['CHOIHYOBIN', 'dva'], ['SUPER', 'reinhardt']]","[['OGE', 'reinhardt']]","[['ZACHAREEE', 'baptiste'], ['PERALTA', 'dva'], ['AKM', 'zarya'], ['RASCAL', 'brig'], ['OGE', 'reinhardt'], ['UNKOE', 'zenyatta'], ['GOO6', 'lucio']]","[['RASCAL', 'brig']]","[['ZACHAREEE', 'baptiste'], ['PERALTA', 'dva'], ['AKM', 'zarya'], ['OGE', 'reinhardt'], ['UNKOE', 'zenyatta'], ['GOO6', 'lucio']]","[['RASCAL', 'brig'], ['SUPER', 'reinhardt'], ['CHOIHYOBIN', 'dva'], ['SINATRAA', 'zarya']]","[['GOO6', 'lucio']]"
11,4/1/2019,DAL,BUSAN,DOWNTOWN,13.0,"['SUPER', 'CHOIHYOBIN', 'SINATRAA', 'RASCAL', 'MOTH', 'NIGHTHAWK']","['winston', 'dva', 'sombra', 'brig', 'lucio', 'moira']","['OGE', 'PERALTA', 'AKM', 'ZACHAREEE', 'UNKOE', 'GOO6']","['hammond', 'tracer', 'widow', 'sombra', 'ana', 'lucio']","['OGE', 'PERALTA', 'AKM', 'ZACHAREEE', 'UNKOE', 'GOO6']","['OGE', 'PERALTA', 'AKM', 'ZACHAREEE', 'UNKOE', 'GOO6']",3,4,0,0,"[['AKM', 'widow'], ['SUPER', 'winston'], ['MOTH', 'lucio'], ['ZACHAREEE', 'sombra'], ['AKM', 'widow'], ['CHOIHYOBIN', 'dva'], ['ZACHAREEE', 'sombra']]","[['SUPER', 'winston'], ['MOTH', 'lucio'], ['CHOIHYOBIN', 'dva']]","[['AKM', 'widow'], ['ZACHAREEE', 'sombra'], ['AKM', 'widow'], ['ZACHAREEE', 'sombra']]","[['NIGHTHAWK', 'moira'], ['PERALTA', 'tracer'], ['UNKOE', 'ana'], ['SUPER', 'winston'], ['MOTH', 'lucio'], ['AKM', 'widow'], ['SINATRAA', 'sombra']]","[['NIGHTHAWK', 'moira'], ['SUPER', 'winston'], ['MOTH', 'lucio'], ['SINATRAA', 'sombra']]","[['PERALTA', 'tracer'], ['UNKOE', 'ana'], ['AKM', 'widow']]",[],[]
12,4/1/2019,DAL,BUSAN,DOWNTOWN,14.25,"['SUPER', 'CHOIHYOBIN', 'SINATRAA', 'RASCAL', 'MOTH', 'NIGHTHAWK']","['winston', 'dva', 'sombra', 'brig', 'lucio', 'moira']","['OGE', 'PERALTA', 'AKM', 'ZACHAREEE', 'UNKOE', 'GOO6']","['hammond', 'tracer', 'widow', 'sombra', 'ana', 'lucio']","['SUPER', 'CHOIHYOBIN', 'SINATRAA', 'RASCAL', 'MOTH', 'NIGHTHAWK']","['OGE', 'PERALTA', 'AKM', 'ZACHAREEE', 'UNKOE', 'GOO6']",1,5,1,3,"[['SUPER', 'winston'], ['GOO6', 'lucio'], ['AKM', 'widow'], ['AKM', 'widow'], ['OGE', 'hammond'], ['PERALTA', 'tracer']]","[['SUPER', 'winston']]","[['GOO6', 'lucio'], ['AKM', 'widow'], ['AKM', 'widow'], ['OGE', 'hammond'], ['PERALTA', 'tracer']]","[['ZACHAREEE', 'sombra'], ['NIGHTHAWK', 'moira'], ['MOTH', 'lucio'], ['RASCAL', 'brig'], ['CHOIHYOBIN', 'dva'], ['SUPER', 'winston']]","[['NIGHTHAWK', 'moira'], ['MOTH', 'lucio'], ['RASCAL', 'brig'], ['CHOIHYOBIN', 'dva'], ['SUPER', 'winston']]","[['ZACHAREEE', 'sombra']]","[['CHOIHYOBIN', 'dva']]","[['ZACHAREEE', 'sombra'], ['PERALTA', 'tracer'], ['OGE', 'hammond']]"
13,4/1/2019,DAL,BUSAN,DOWNTOWN,0.0,"['SUPER', 'CHOIHYOBIN', 'SINATRAA', 'RASCAL', 'MOTH', 'NIGHTHAWK']","['winston', 'dva', 'sombra', 'brig', 'lucio', 'moira']","['OGE', 'PERALTA', 'AKM', 'ZACHAREEE', 'UNKOE', 'GOO6']","['hammond', 'tracer', 'widow', 'sombra', 'ana', 'lucio']","['OGE', 'PERALTA', 'AKM', 'ZACHAREEE', 'UNKOE', 'GOO6']","['OGE', 'PERALTA', 'AKM', 'ZACHAREEE', 'UNKOE', 'GOO6']",0,1,0,1,"[['ZACHAREEE', 'sombra']]",[],"[['ZACHAREEE', 'sombra']]","[['SINATRAA', 'sombra']]","[['SINATRAA', 'sombra']]",[],[],"[['AKM', 'widow']]"
14,4/1/2019,DAL,BUSAN,DOWNTOWN,9.5,"['SUPER', 'CHOIHYOBIN', 'SINATRAA', 'RASCAL', 'MOTH', 'NIGHTHAWK']","['winston', 'dva', 'sombra', 'brig', 'lucio', 'moira']","['OGE', 'PERALTA', 'AKM', 'ZACHAREEE', 'UNKOE', 'GOO6']","['hammond', 'tracer', 'widow', 'sombra', 'ana', 'lucio']","['OGE', 'PERALTA', 'AKM', 'ZACHAREEE', 'UNKOE', 'GOO6']",[],2,2,2,2,"[['ZACHAREEE', 'sombra'], ['AKM', 'widow'], ['RASCAL', 'brig'], ['RASCAL', 'brig']]","[['RASCAL', 'brig'], ['RASCAL', 'brig']]","[['ZACHAREEE', 'sombra'], ['AKM', 'widow']]","[['MOTH', 'lucio'], ['SINATRAA', 'sombra'], ['PERALTA', 'tracer'], ['AKM', 'widow']]","[['MOTH', 'lucio'], ['SINATRAA', 'sombra']]","[['PERALTA', 'tracer'], ['AKM', 'widow']]","[['RASCAL', 'brig'], ['SINATRAA', 'sombra']]","[['UNKOE', 'ana'], ['OGE', 'hammond']]"
15,4/1/2019,DAL,BUSAN,DOWNTOWN,20.25,"['SUPER', 'CHOIHYOBIN', 'SINATRAA', 'RASCAL', 'MOTH', 'NIGHTHAWK']","['winston', 'dva', 'sombra', 'brig', 'lucio', 'moira']","['OGE', 'PERALTA', 'AKM', 'ZACHAREEE', 'UNKOE', 'GOO6']","['hammond', 'tracer', 'widow', 'sombra', 'ana', 'lucio']","['SUPER', 'CHOIHYOBIN', 'SINATRAA', 'RASCAL', 'MOTH', 'NIGHTHAWK']","['SUPER', 'CHOIHYOBIN', 'SINATRAA', 'RASCAL', 'MOTH', 'NIGHTHAWK']",4,0,4,2,"[['SUPER', 'winston'], ['NIGHTHAWK', 'moira'], ['RASCAL', 'brig'], ['RASCAL', 'brig']]","[['SUPER', 'winston'], ['NIGHTHAWK', 'moira'], ['RASCAL', 'brig'], ['RASCAL', 'brig']]",[],"[['UNKOE', 'ana'], ['PERALTA', 'tracer'], ['GOO6', 'lucio'], ['OGE', 'hammond']]",[],"[['UNKOE', 'ana'], ['PERALTA', 'tracer'], ['GOO6', 'lucio'], ['OGE', 'hammond']]","[['CHOIHYOBIN', 'dva'], ['SUPER', 'winston'], ['NIGHTHAWK', 'moira'], ['CHOIHYOBIN', 'dva']]","[['PERALTA', 'tracer'], ['ZACHAREEE', 'sombra']]"
16,4/1/2019,DAL,BUSAN,DOWNTOWN,0.0,"['SUPER', 'CHOIHYOBIN', 'SINATRAA', 'RASCAL', 'MOTH', 'NIGHTHAWK']","['winston', 'dva', 'sombra', 'brig', 'lucio', 'moira']","['OGE', 'PERALTA', 'AKM', 'ZACHAREEE', 'UNKOE', 'GOO6']","['reinhardt', 'dva', 'zarya', 'brig', 'zenyatta', 'lucio']","['SUPER', 'CHOIHYOBIN', 'SINATRAA', 'RASCAL', 'MOTH', 'NIGHTHAWK']","['SUPER', 'CHOIHYOBIN', 'SINATRAA', 'RASCAL', 'MOTH', 'NIGHTHAWK']",1,0,0,0,"[['SINATRAA', 'sombra']]","[['SINATRAA', 'sombra']]",[],"[['UNKOE', 'zenyatta']]",[],"[['UNKOE', 'zenyatta']]",[],[]
17,4/1/2019,DAL,BUSAN,DOWNTOWN,0.0,"['SUPER', 'CHOIHYOBIN', 'SINATRAA', 'RASCAL', 'MOTH', 'NIGHTHAWK']","['winston', 'dva', 'sombra', 'brig', 'lucio', 'moira']","['OGE', 'PERALTA', 'AKM', 'ZACHAREEE', 'UNKOE', 'GOO6']","['reinhardt', 'dva', 'zarya', 'brig', 'zenyatta', 'lucio']","['SUPER', 'CHOIHYOBIN', 'SINATRAA', 'RASCAL', 'MOTH', 'NIGHTHAWK']","['SUPER', 'CHOIHYOBIN', 'SINATRAA', 'RASCAL', 'MOTH', 'NIGHTHAWK']",1,0,0,0,"[['RASCAL', 'brig']]","[['RASCAL', 'brig']]",[],"[['OGE', 'reinhardt']]",[],"[['OGE', 'reinhardt']]",[],[]
18,4/1/2019,DAL,BUSAN,DOWNTOWN,11.0,"['SUPER', 'CHOIHYOBIN', 'SINATRAA', 'RASCAL', 'MOTH', 'NIGHTHAWK']","['winston', 'dva', 'sombra', 'brig', 'lucio', 'moira']","['OGE', 'PERALTA', 'AKM', 'ZACHAREEE', 'UNKOE', 'GOO6']","['winston', 'dva', 'zarya', 'baptiste', 'zenyatta', 'lucio']","['SUPER', 'CHOIHYOBIN', 'SINATRAA', 'RASCAL', 'MOTH', 'NIGHTHAWK']","['SUPER', 'CHOIHYOBIN', 'SINATRAA', 'RASCAL', 'MOTH', 'NIGHTHAWK']",2,0,4,1,"[['NIGHTHAWK', 'moira'], ['NIGHTHAWK', 'moira']]","[['NIGHTHAWK', 'moira'], ['NIGHTHAWK', 'moira']]",[],"[['AKM', 'zarya'], ['PERALTA', 'dva']]",[],"[['AKM', 'zarya'], ['PERALTA', 'dva']]","[['CHOIHYOBIN', 'dva'], ['SUPER', 'winston'], ['SINATRAA', 'sombra'], ['RASCAL', 'brig']]","[['GOO6', 'lucio']]"
